CCV,C1,C1 Manner,C2,C2 Manner,V,SSP Status,Sonority Difference
PBA,P,Plosive,B,Plosive,A,Follow,0
PBE,P,Plosive,B,Plosive,E,Follow,0
PBI,P,Plosive,B,Plosive,I,Follow,0
PBO,P,Plosive,B,Plosive,O,Follow,0
PBU,P,Plosive,B,Plosive,U,Follow,0
PTA,P,Plosive,T,Plosive,A,Follow,0
PTE,P,Plosive,T,Plosive,E,Follow,0
PTI,P,Plosive,T,Plosive,I,Follow,0
PTO,P,Plosive,T,Plosive,O,Follow,0
PTU,P,Plosive,T,Plosive,U,Follow,0
PDA,P,Plosive,D,Plosive,A,Follow,0
PDE,P,Plosive,D,Plosive,E,Follow,0
PDI,P,Plosive,D,Plosive,I,Follow,0
PDO,P,Plosive,D,Plosive,O,Follow,0
PDU,P,Plosive,D,Plosive,U,Follow,0
PKA,P,Plosive,K,Plosive,A,Follow,0
PKE,P,Plosive,K,Plosive,E,Follow,0
PKI,P,Plosive,K,Plosive,I,Follow,0
PKO,P,Plosive,K,Plosive,O,Follow,0
PKU,P,Plosive,K,Plosive,U,Follow,0
PGA,P,Plosive,G,Plosive,A,Follow,0
PGE,P,Plosive,G,Plosive,E,Follow,0
PGI,P,Plosive,G,Plosive,I,Follow,0
PGO,P,Plosive,G,Plosive,O,Follow,0
PGU,P,Plosive,G,Plosive,U,Follow,0
PQA,P,Plosive,Q,Plosive,A,Follow,0
PQE,P,Plosive,Q,Plosive,E,Follow,0
PQI,P,Plosive,Q,Plosive,I,Follow,0
PQO,P,Plosive,Q,Plosive,O,Follow,0
PQU,P,Plosive,Q,Plosive,U,Follow,0
PFA,P,Plosive,F,Fricative,A,Follow,1
PFE,P,Plosive,F,Fricative,E,Follow,1
PFI,P,Plosive,F,Fricative,I,Follow,1
PFO,P,Plosive,F,Fricative,O,Follow,1
PFU,P,Plosive,F,Fricative,U,Follow,1
PVA,P,Plosive,V,Fricative,A,Follow,1
PVE,P,Plosive,V,Fricative,E,Follow,1
PVI,P,Plosive,V,Fricative,I,Follow,1
PVO,P,Plosive,V,Fricative,O,Follow,1
PVU,P,Plosive,V,Fricative,U,Follow,1
PTHA,P,Plosive,TH,Fricative,A,Follow,1
PTHE,P,Plosive,TH,Fricative,E,Follow,1
PTHI,P,Plosive,TH,Fricative,I,Follow,1
PTHO,P,Plosive,TH,Fricative,O,Follow,1
PTHU,P,Plosive,TH,Fricative,U,Follow,1
PDHA,P,Plosive,DH,Fricative,A,Follow,1
PDHE,P,Plosive,DH,Fricative,E,Follow,1
PDHI,P,Plosive,DH,Fricative,I,Follow,1
PDHO,P,Plosive,DH,Fricative,O,Follow,1
PDHU,P,Plosive,DH,Fricative,U,Follow,1
PSA,P,Plosive,S,Fricative,A,Follow,1
PSE,P,Plosive,S,Fricative,E,Follow,1
PSI,P,Plosive,S,Fricative,I,Follow,1
PSO,P,Plosive,S,Fricative,O,Follow,1
PSU,P,Plosive,S,Fricative,U,Follow,1
PZA,P,Plosive,Z,Fricative,A,Follow,1
PZE,P,Plosive,Z,Fricative,E,Follow,1
PZI,P,Plosive,Z,Fricative,I,Follow,1
PZO,P,Plosive,Z,Fricative,O,Follow,1
PZU,P,Plosive,Z,Fricative,U,Follow,1
PSHA,P,Plosive,SH,Fricative,A,Follow,1
PSHE,P,Plosive,SH,Fricative,E,Follow,1
PSHI,P,Plosive,SH,Fricative,I,Follow,1
PSHO,P,Plosive,SH,Fricative,O,Follow,1
PSHU,P,Plosive,SH,Fricative,U,Follow,1
PZHA,P,Plosive,ZH,Fricative,A,Follow,1
PZHE,P,Plosive,ZH,Fricative,E,Follow,1
PZHI,P,Plosive,ZH,Fricative,I,Follow,1
PZHO,P,Plosive,ZH,Fricative,O,Follow,1
PZHU,P,Plosive,ZH,Fricative,U,Follow,1
PHA,P,Plosive,H,Fricative,A,Follow,1
PHE,P,Plosive,H,Fricative,E,Follow,1
PHI,P,Plosive,H,Fricative,I,Follow,1
PHO,P,Plosive,H,Fricative,O,Follow,1
PHU,P,Plosive,H,Fricative,U,Follow,1
PCHA,P,Plosive,CH,Affricate,A,Follow,2
PCHE,P,Plosive,CH,Affricate,E,Follow,2
PCHI,P,Plosive,CH,Affricate,I,Follow,2
PCHO,P,Plosive,CH,Affricate,O,Follow,2
PCHU,P,Plosive,CH,Affricate,U,Follow,2
PJHA,P,Plosive,JH,Affricate,A,Follow,2
PJHE,P,Plosive,JH,Affricate,E,Follow,2
PJHI,P,Plosive,JH,Affricate,I,Follow,2
PJHO,P,Plosive,JH,Affricate,O,Follow,2
PJHU,P,Plosive,JH,Affricate,U,Follow,2
PMA,P,Plosive,M,Nasal,A,Follow,3
PME,P,Plosive,M,Nasal,E,Follow,3
PMI,P,Plosive,M,Nasal,I,Follow,3
PMO,P,Plosive,M,Nasal,O,Follow,3
PMU,P,Plosive,M,Nasal,U,Follow,3
PNA,P,Plosive,N,Nasal,A,Follow,3
PNE,P,Plosive,N,Nasal,E,Follow,3
PNI,P,Plosive,N,Nasal,I,Follow,3
PNO,P,Plosive,N,Nasal,O,Follow,3
PNU,P,Plosive,N,Nasal,U,Follow,3
PNGA,P,Plosive,NG,Nasal,A,Follow,3
PNGE,P,Plosive,NG,Nasal,E,Follow,3
PNGI,P,Plosive,NG,Nasal,I,Follow,3
PNGO,P,Plosive,NG,Nasal,O,Follow,3
PNGU,P,Plosive,NG,Nasal,U,Follow,3
PLA,P,Plosive,L,Liquid,A,Follow,4
PLE,P,Plosive,L,Liquid,E,Follow,4
PLI,P,Plosive,L,Liquid,I,Follow,4
PLO,P,Plosive,L,Liquid,O,Follow,4
PLU,P,Plosive,L,Liquid,U,Follow,4
PRA,P,Plosive,R,Liquid,A,Follow,4
PRE,P,Plosive,R,Liquid,E,Follow,4
PRI,P,Plosive,R,Liquid,I,Follow,4
PRO,P,Plosive,R,Liquid,O,Follow,4
PRU,P,Plosive,R,Liquid,U,Follow,4
PYA,P,Plosive,Y,Glide,A,Follow,5
PYE,P,Plosive,Y,Glide,E,Follow,5
PYI,P,Plosive,Y,Glide,I,Follow,5
PYO,P,Plosive,Y,Glide,O,Follow,5
PYU,P,Plosive,Y,Glide,U,Follow,5
PWA,P,Plosive,W,Glide,A,Follow,5
PWE,P,Plosive,W,Glide,E,Follow,5
PWI,P,Plosive,W,Glide,I,Follow,5
PWO,P,Plosive,W,Glide,O,Follow,5
PWU,P,Plosive,W,Glide,U,Follow,5
BPA,B,Plosive,P,Plosive,A,Follow,0
BPE,B,Plosive,P,Plosive,E,Follow,0
BPI,B,Plosive,P,Plosive,I,Follow,0
BPO,B,Plosive,P,Plosive,O,Follow,0
BPU,B,Plosive,P,Plosive,U,Follow,0
BTA,B,Plosive,T,Plosive,A,Follow,0
BTE,B,Plosive,T,Plosive,E,Follow,0
BTI,B,Plosive,T,Plosive,I,Follow,0
BTO,B,Plosive,T,Plosive,O,Follow,0
BTU,B,Plosive,T,Plosive,U,Follow,0
BDA,B,Plosive,D,Plosive,A,Follow,0
BDE,B,Plosive,D,Plosive,E,Follow,0
BDI,B,Plosive,D,Plosive,I,Follow,0
BDO,B,Plosive,D,Plosive,O,Follow,0
BDU,B,Plosive,D,Plosive,U,Follow,0
BKA,B,Plosive,K,Plosive,A,Follow,0
BKE,B,Plosive,K,Plosive,E,Follow,0
BKI,B,Plosive,K,Plosive,I,Follow,0
