VCC,V,C1,C1 Manner,C2,C2 Manner,SSP Status,Sonority Difference
APB,A,P,Plosive,B,Plosive,Follow,0
EPB,E,P,Plosive,B,Plosive,Follow,0
IPB,I,P,Plosive,B,Plosive,Follow,0
OPB,O,P,Plosive,B,Plosive,Follow,0
UPB,U,P,Plosive,B,Plosive,Follow,0
APT,A,P,Plosive,T,Plosive,Follow,0
EPT,E,P,Plosive,T,Plosive,Follow,0
IPT,I,P,Plosive,T,Plosive,Follow,0
OPT,O,P,Plosive,T,Plosive,Follow,0
UPT,U,P,Plosive,T,Plosive,Follow,0
APD,A,P,Plosive,D,Plosive,Follow,0
EPD,E,P,Plosive,D,Plosive,Follow,0
IPD,I,P,Plosive,D,Plosive,Follow,0
OPD,O,P,Plosive,D,Plosive,Follow,0
UPD,U,P,Plosive,D,Plosive,Follow,0
APK,A,P,Plosive,K,Plosive,Follow,0
EPK,E,P,Plosive,K,Plosive,Follow,0
IPK,I,P,Plosive,K,Plosive,Follow,0
OPK,O,P,Plosive,K,Plosive,Follow,0
UPK,U,P,Plosive,K,Plosive,Follow,0
APG,A,P,Plosive,G,Plosive,Follow,0
EPG,E,P,Plosive,G,Plosive,Follow,0
IPG,I,P,Plosive,G,Plosive,Follow,0
OPG,O,P,Plosive,G,Plosive,Follow,0
UPG,U,P,Plosive,G,Plosive,Follow,0
APQ,A,P,Plosive,Q,Plosive,Follow,0
EPQ,E,P,Plosive,Q,Plosive,Follow,0
IPQ,I,P,Plosive,Q,Plosive,Follow,0
OPQ,O,P,Plosive,Q,Plosive,Follow,0
UPQ,U,P,Plosive,Q,Plosive,Follow,0
ABP,A,B,Plosive,P,Plosive,Follow,0
EBP,E,B,Plosive,P,Plosive,Follow,0
IBP,I,B,Plosive,P,Plosive,Follow,0
OBP,O,B,Plosive,P,Plosive,Follow,0
UBP,U,B,Plosive,P,Plosive,Follow,0
ABT,A,B,Plosive,T,Plosive,Follow,0
EBT,E,B,Plosive,T,Plosive,Follow,0
IBT,I,B,Plosive,T,Plosive,Follow,0
OBT,O,B,Plosive,T,Plosive,Follow,0
UBT,U,B,Plosive,T,Plosive,Follow,0
ABD,A,B,Plosive,D,Plosive,Follow,0
EBD,E,B,Plosive,D,Plosive,Follow,0
IBD,I,B,Plosive,D,Plosive,Follow,0
OBD,O,B,Plosive,D,Plosive,Follow,0
UBD,U,B,Plosive,D,Plosive,Follow,0
ABK,A,B,Plosive,K,Plosive,Follow,0
EBK,E,B,Plosive,K,Plosive,Follow,0
IBK,I,B,Plosive,K,Plosive,Follow,0
OBK,O,B,Plosive,K,Plosive,Follow,0
UBK,U,B,Plosive,K,Plosive,Follow,0
ABG,A,B,Plosive,G,Plosive,Follow,0
EBG,E,B,Plosive,G,Plosive,Follow,0
IBG,I,B,Plosive,G,Plosive,Follow,0
OBG,O,B,Plosive,G,Plosive,Follow,0
UBG,U,B,Plosive,G,Plosive,Follow,0
ABQ,A,B,Plosive,Q,Plosive,Follow,0
EBQ,E,B,Plosive,Q,Plosive,Follow,0
IBQ,I,B,Plosive,Q,Plosive,Follow,0
OBQ,O,B,Plosive,Q,Plosive,Follow,0
UBQ,U,B,Plosive,Q,Plosive,Follow,0
ATP,A,T,Plosive,P,Plosive,Follow,0
ETP,E,T,Plosive,P,Plosive,Follow,0
ITP,I,T,Plosive,P,Plosive,Follow,0
OTP,O,T,Plosive,P,Plosive,Follow,0
UTP,U,T,Plosive,P,Plosive,Follow,0
ATB,A,T,Plosive,B,Plosive,Follow,0
ETB,E,T,Plosive,B,Plosive,Follow,0
ITB,I,T,Plosive,B,Plosive,Follow,0
OTB,O,T,Plosive,B,Plosive,Follow,0
UTB,U,T,Plosive,B,Plosive,Follow,0
ATD,A,T,Plosive,D,Plosive,Follow,0
ETD,E,T,Plosive,D,Plosive,Follow,0
ITD,I,T,Plosive,D,Plosive,Follow,0
OTD,O,T,Plosive,D,Plosive,Follow,0
UTD,U,T,Plosive,D,Plosive,Follow,0
ATK,A,T,Plosive,K,Plosive,Follow,0
ETK,E,T,Plosive,K,Plosive,Follow,0
ITK,I,T,Plosive,K,Plosive,Follow,0
OTK,O,T,Plosive,K,Plosive,Follow,0
UTK,U,T,Plosive,K,Plosive,Follow,0
ATG,A,T,Plosive,G,Plosive,Follow,0
ETG,E,T,Plosive,G,Plosive,Follow,0
ITG,I,T,Plosive,G,Plosive,Follow,0
OTG,O,T,Plosive,G,Plosive,Follow,0
UTG,U,T,Plosive,G,Plosive,Follow,0
ATQ,A,T,Plosive,Q,Plosive,Follow,0
ETQ,E,T,Plosive,Q,Plosive,Follow,0
ITQ,I,T,Plosive,Q,Plosive,Follow,0
OTQ,O,T,Plosive,Q,Plosive,Follow,0
UTQ,U,T,Plosive,Q,Plosive,Follow,0
ADP,A,D,Plosive,P,Plosive,Follow,0
EDP,E,D,Plosive,P,Plosive,Follow,0
IDP,I,D,Plosive,P,Plosive,Follow,0
ODP,O,D,Plosive,P,Plosive,Follow,0
UDP,U,D,Plosive,P,Plosive,Follow,0
ADB,A,D,Plosive,B,Plosive,Follow,0
EDB,E,D,Plosive,B,Plosive,Follow,0
IDB,I,D,Plosive,B,Plosive,Follow,0
ODB,O,D,Plosive,B,Plosive,Follow,0
UDB,U,D,Plosive,B,Plosive,Follow,0
ADT,A,D,Plosive,T,Plosive,Follow,0
EDT,E,D,Plosive,T,Plosive,Follow,0
IDT,I,D,Plosive,T,Plosive,Follow,0
ODT,O,D,Plosive,T,Plosive,Follow,0
UDT,U,D,Plosive,T,Plosive,Follow,0
ADK,A,D,Plosive,K,Plosive,Follow,0
EDK,E,D,Plosive,K,Plosive,Follow,0
IDK,I,D,Plosive,K,Plosive,Follow,0
ODK,O,D,Plosive,K,Plosive,Follow,0
UDK,U,D,Plosive,K,Plosive,Follow,0
ADG,A,D,Plosive,G,Plosive,Follow,0
EDG,E,D,Plosive,G,Plosive,Follow,0
IDG,I,D,Plosive,G,Plosive,Follow,0
ODG,O,D,Plosive,G,Plosive,Follow,0
UDG,U,D,Plosive,G,Plosive,Follow,0
ADQ,A,D,Plosive,Q,Plosive,Follow,0
EDQ,E,D,Plosive,Q,Plosive,Follow,0
IDQ,I,D,Plosive,Q,Plosive,Follow,0
ODQ,O,D,Plosive,Q,Plosive,Follow,0
UDQ,U,D,Plosive,Q,Plosive,Follow,0
AKP,A,K,Plosive,P,Plosive,Follow,0
EKP,E,K,Plosive,P,Plosive,Follow,0
IKP,I,K,Plosive,P,Plosive,Follow,0
OKP,O,K,Plosive,P,Plosive,Follow,0
UKP,U,K,Plosive,P,Plosive,Follow,0
AKB,A,K,Plosive,B,Plosive,Follow,0
EKB,E,K,Plosive,B,Plosive,Follow,0
IKB,I,K,Plosive,B,Plosive,Follow,0
OKB,O,K,Plosive,B,Plosive,Follow,0
UKB,U,K,Plosive,B,Plosive,Follow,0
AKT,A,K,Plosive,T,Plosive,Follow,0
EKT,E,K,Plosive,T,Plosive,Follow,0
IKT,I,K,Plosive,T,Plosive,Follow,0
OKT,O,K,Plosive,T,Plosive,Follow,0
UKT,U,K,Plosive,T,Plosive,Follow,0
AKD,A,K,Plosive,D,Plosive,Follow,0
EKD,E,K,Plosive,D,Plosive,Follow,0
IKD,I,K,Plosive,D,Plosive,Follow,0
OKD,O,K,Plosive,D,Plosive,Follow,0
UKD,U,K,Plosive,D,Plosive,Follow,0
AKG,A,K,Plosive,G,Plosive,Follow,0
EKG,E,K,Plosive,G,Plosive,Follow,0
IKG,I,K,Plosive,G,Plosive,Follow,0
OKG,O,K,Plosive,G,Plosive,Follow,0
UKG,U,K,Plosive,G,Plosive,Follow,0
AKQ,A,K,Plosive,Q,Plosive,Follow,0
EKQ,E,K,Plosive,Q,Plosive,Follow,0
IKQ,I,K,Plosive,Q,Plosive,Follow,0
OKQ,O,K,Plosive,Q,Plosive,Follow,0
UKQ,U,K,Plosive,Q,Plosive,Follow,0
AGP,A,G,Plosive,P,Plosive,Follow,0
EGP,E,G,Plosive,P,Plosive,Follow,0
IGP,I,G,Plosive,P,Plosive,Follow,0
OGP,O,G,Plosive,P,Plosive,Follow,0
UGP,U,G,Plosive,P,Plosive,Follow,0
AGB,A,G,Plosive,B,Plosive,Follow,0
EGB,E,G,Plosive,B,Plosive,Follow,0
IGB,I,G,Plosive,B,Plosive,Follow,0
OGB,O,G,Plosive,B,Plosive,Follow,0
UGB,U,G,Plosive,B,Plosive,Follow,0
AGT,A,G,Plosive,T,Plosive,Follow,0
EGT,E,G,Plosive,T,Plosive,Follow,0
IGT,I,G,Plosive,T,Plosive,Follow,0
OGT,O,G,Plosive,T,Plosive,Follow,0
UGT,U,G,Plosive,T,Plosive,Follow,0
AGD,A,G,Plosive,D,Plosive,Follow,0
EGD,E,G,Plosive,D,Plosive,Follow,0
IGD,I,G,Plosive,D,Plosive,Follow,0
OGD,O,G,Plosive,D,Plosive,Follow,0
UGD,U,G,Plosive,D,Plosive,Follow,0
AGK,A,G,Plosive,K,Plosive,Follow,0
